close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band
101462.49,102540.0,101462.49,101362.50542222161,101797.14,101340.33200000001,101153.47387864403,100993.358,100989.338,100072.77293226412,101905.90306773588
101617.65,101700.0,101227.27,101447.55361481442,101462.49,101498.262,101237.86953707237,101105.124,100994.2145,100064.81111820975,101923.61788179025
100857.59,101657.75,100831.0,101250.89907654296,101617.64,101487.38200000001,101168.72780305921,101092.883,100976.60699999999,100051.06077713652,101902.15322286346
99481.32,101052.77,99311.64,100661.03938436198,100857.59,101043.23799999998,100861.92638432117,100959.60800000001,100894.423,99756.76162836542,102032.08437163457
100028.01,100464.73,99465.33,100450.02958957467,99481.33,100689.412,100710.30522353548,100904.465,100857.2005,99655.80789959217,102058.59310040784
99760.01,100109.09,99700.0,100220.02305971645,100028.02,100348.916,100537.52427380176,100844.624,100820.386,99530.55887729753,102110.21312270247
100444.0,100476.19,99513.0,100294.68203981097,99760.01,100114.186,100520.51986038325,100806.224,100751.348,99542.61391571617,101960.08208428383
100004.29,100476.0,99879.38,100197.8846932073,100444.0,99943.52599999998,100426.65988576811,100715.454,100700.269,99454.60426915144,101945.93373084856
100083.21,100356.85,99939.85,100159.65979547155,100004.29,100063.904,100364.21445199207,100553.571,100670.64450000001,99394.70613268012,101946.5828673199
99323.94,100140.0,99210.53,99881.08653031438,100083.21,99923.09,100175.07364253896,100306.251,100605.8985,99194.65198923055,102017.14501076944
99484.99,99675.66,99205.0,99749.05435354293,99323.94,99868.086,100049.60388935005,100108.501,100550.9295,99053.16133846625,102048.69766153375
99729.09,99793.5,99484.98,99742.39956902862,99484.99,99725.104,99991.32863674095,99919.64499999999,100512.38450000001,98970.08062164174,102054.68837835829
100000.46,100054.91,99652.0,99828.41971268576,99729.09,99724.33800000002,99992.98888460622,99833.932,100463.4075,98921.41572857168,102005.39927142832
99890.0,100172.0,99850.35,99848.94647512384,100000.46,99685.696,99974.26363285963,99874.8,100417.204,98864.11572421018,101970.29227578982
99700.0,100092.0,99700.0,99799.29765008256,99889.99,99760.90800000001,99924.39751779425,99841.999,100373.232,98789.97848862274,101956.48551137726
100130.0,100225.52,99500.0,99909.53176672172,99700.0,99889.91,99961.7797872862,99878.99799999999,100361.811,98774.81654759833,101948.80545240168
100272.0,100361.93,99896.0,100030.35451114782,100130.01,99998.492,100018.18346232508,99861.798,100334.011,98761.9927770053,101906.0292229947
100100.0,100340.0,99904.43,100053.56967409854,100271.99,100018.4,100033.05919644778,99871.369,100293.4115,98742.44364058514,101844.37935941486
100457.62,100550.0,99913.51,100188.2531160657,100100.0,100131.924,100110.25206982091,99908.81,100231.1905,98825.08110071527,101637.29989928473
